num,titulo_empleo,descripcion_empleo,etiquetas_empleo
3772,Fullstack Developer Magento 2 + Wordpress,"We are looking for a Fullstack advanced in Magento 2 (frontend +backend)  and Wordpress (frontend + backend) to support some Magento stores.

Requirements:
-English B2 level minimum
-Senior or Mid (min. 5 years of experience)
-availabbility 40-80 h per month
-other stack: PHP, CSS, JavaScript","[""HTML"", ""JavaScript"", ""Magento 2"", ""PHP"", ""WordPress""]"
3773,Build Me A Shopping Website,I have a site built as a template. I need a developer that can create both a website and an app for us. I need the freelancer to be able to work with HTML or CSS and develop a hopefully high-traffic site.,"[""CSS"", ""HTML"", ""JavaScript"", ""Web Development"", ""Diseño de sitios web""]"
3774,Java Spring developer,"Requirements: 
•     Java
•     Spring
•     Spring Boot
•     Ignite
•     Kafka","[""Java"", ""JavaScript"", ""Spring Boot""]"
3775,Build me a Desktop Software for custom android device,I have designed and developed an custom android device which scans QR code and store in Json format. I want to hire developer to build desktop software to pull data from android device and list it with filters function. I have attached SDK and concept design.,"[""Android"", ""Programación en C#"", ""Java"", ""Desarrollo de apps móviles"", ""Arquitectura de software""]"
3776,Require Magento 1.9 Developer to remove malware,Require Magento 1.9 Developer to remove malware.,"[""Data Protection"", ""Magento"", ""Safety Consulting"", ""Seguridad web""]"
3777,Looking for Android developer(java),I have a simple android project. Need to fix small problem.,"[""Android"", ""Java"", ""Desarrollo de apps móviles"", ""Arquitectura de software""]"
3778,EDI for Amazon Vendor System And Zoho Inventory API -- 2,"We are looking for a developer to create a system for us over google sheets by linking amazon vendor account and our zoho inventory so we can fully manage our amazon vendor business on google sheets.
Our amazon vendor business contains two modules
1- Purchase orders:
The main functions of amazon vendor are
Purchase order (retrieve and map line items against warehouse inventory fetched from zoho inventory)
accept, reject purchase orders and update the shipping window
generate sales order for approved purchase orders
generate ASN
book shipment
Submit invoice.

2- DF Direct Fulfilment
Automatically update amazon DF inventory directly from zoho warehouse inventory.
Excel report amazon DF inventory against our warehouses inventory.
Create transfer orders between our warehouses to repleni...","[""Amazon App Development"", ""Amazon FBA"", ""Amazon Web Services"", ""MySQL"", ""Arquitectura de software""]"
3779,Need a Mobile Developer to Finalize / Update a Cordova game,"Basically we need to do the following to the - almost completed - app : 

1) Add google play Leaderboards & Achievements + Local High Score saving 
2) Integrate if Possible Ad SDKs (Chartboost / AdColony) 
3) Fix some minor glitches. 
4) Add a couple of links to other Apps 

We will upload the completed app to Google Play in the first phase. Has to go live by the end of the phase. 

This project is a stage-1 and will probably be followed by another phase, wherein the app will be connected to a web platform through webservices, and challenge (one-on-one) functionality added...","[""Android"", ""JavaScript"", ""Desarrollo de apps móviles"", ""PhoneGap"", ""PHP""]"
3780,Looking for A Python Web Developer with Django to Create a Keyword Research Tool,"If you know Python and Django, feel free to contact me. I've some ideas if you can implements them.","[""Django"", ""Python""]"
3781,Required a Php Full Stack Developer,"We are looking for a skilled full stack web developer who is comfortable with both front and back end programming.

Position- Full stack Developer - PHP, Wordpress, Laravel, Bigcommerce
He/She must have minimum  4 years of experience in Wordpress and Laravel able to create plugins if required.
Hands on with React Bootstrap, HTML/CSS
Solid understanding of building scalable web APIs
Experience in creating reliable applications with a responsive design
Familiarity with writing code that works on multiple platforms and browsers
Ability to articulate and communicate effectively
Strong desire to stay up-to-date on current technologies and suggest areas of improvement
Strong proficiency with JavaScript, TypeScript, ES6 to build RESTful API
Knowledge of Node.js and frameworks availa...","[""HTML"", ""JavaScript"", ""Laravel"", ""MySQL"", ""WordPress""]"
3782,I need a software developer to develop a digital program for me,"I am setting up my own online business and need a digital decision-tree-type program. 
It is basically where the client selects from category A (51 options) and category B (47 options) and will then calculate the outcome from category C (96 possible options).
I have already drafted a chart that details what Category A and B selections will equal what outcomes in Category C.  I just need this turned into a digital program that is user-friendly and visually pleasing.","[""App Development"", ""Programación en C"", ""Programación en C#"", ""Programación en C++"", ""PHP"", ""Arquitectura de software"", ""Desarrollo de software""]"
3783,Node Js developer requried,Have to develop api for the app and admin panel in nodejs,"[""Express JS"", ""Node.js"", ""NoSQL Couch y Mongo""]"
3784,WordPress Theme development,"Hi developers,

I am searching for a Wordpress Theme developer who can create me a theme (for usage as child theme, latest WP version) similar(!) to an existing design (you get the links on request) based on the latest version of the Enfold Theme. Will be later on used on a multisite WP installation. For some reasons, only offers the text starts with ""Hi Soccer,"" will be handled.

 

The child theme shall have the possibilty to customize/amend for each subsite the main logo, social media links, footer, menu & pages and landing page. Theme colors differ to the example page and needs to be adjustable. Screenshots can be provided.

 

Best regards Jonathan","[""CSS"", ""HTML"", ""PHP"", ""Diseño de sitios web"", ""WordPress""]"
3785,Looking Java developer,Looking Java developer for new project,"[""J2EE"", ""Java"", ""JavaScript"", ""PHP"", ""Arquitectura de software""]"
3786,Required .net developer,Looking freelancer expert .net developer for some uploading tabs and sections for my website budget is 1500/- to 2000/-,"["".NET"", ""Diseño de sitios web""]"
3787,Snapchat API integration,"You must be well familiar with Snapchat developer environment and know how to integrate DATA to external tools.

You know when how to get access, what's required to get access to required Snap account as client will need to get instructions for that.

The task is related to exporting data and showing it on 3rd party dashboard similar to Looker studio (Google Data studio).","[""API Integration"", ""JSON"", ""Snapchat""]"
3788,I'm looking for a web developer for small graphic changes on our site,"Hello, We are looking for a web developer to apply some minor graphic changes to our online casino website.
Contact me privately to discuss the tasks.","[""Diseño gráfico"", ""HTML"", ""Laravel"", ""PHP"", ""Diseño de sitios web""]"
3789,NEED MOBILE APP DEVELOPER - XAMARIN CODED APP,"I need some updates done on my existing app.  Need to have features deleted or moved, ad banner replaced, default images replaced, and the Buy Now button in marketplace set up with Stripe.","[""Android"", ""iPad"", ""iPhone"", ""Desarrollo de apps móviles"", ""PhoneGap""]"
3790,Angular developer required,Need an angular developer on immediate basis who could troubleshoot and fix issues reported both in ui and api binding,"[""AngularJS"", ""HTML5"", ""JavaScript"", ""jQuery / Prototype"", ""Node.js""]"
3791,PHP developer for few custom changes (NO AUTO BIDS ),"Hi, we have a PHP web app where we need couple of changes only bid if you can work on project with low price and quick fixing thanks","[""HTML"", ""JavaScript"", ""MySQL"", ""PHP"", ""Diseño de sitios web""]"
3792,Paypal integration .net 6,".net 6 developer
Paypal already implemented, need to solve the bug we are having and set it to mutiparty payments. 

Code -> 

Client id and secret you can generate 
I'm unable to create order with multiple emails 
NEEDED IN 12 HRS.","["".NET"", "".NET 5.0/6"", "".NET Core Web API"", ""ASP.NET"", ""API de PayPal""]"
3793,Need Flutter Developer,"Need flutter developer to build my project of On Demand Home Service. Your Job is to buy code from codeCanyone and build it for me and publish on google play store and app store.



this is the project link.","[""Android"", ""iPhone"", ""Desarrollo de apps móviles"", ""PHP"", ""Diseño de sitios web""]"
3794,Python Expert with PyQT6 designer experience needed,"Our team is looking to hire a freelance Python developer who is skilled in QT designer. We have several requests and are looking for a potential long term relationship granted the first set of contracts go well.

First we need help implementing multithreading via QThread when we call apis from external files.

After this is solved we have several other issues. If Interested.","[""inteligencia artificial"", ""Python"", ""Qt""]"
3795,NEED LARAVEL DEVELOPER FOR CASTING AGENCY WEBSITE,I need an experienced Laravel developer to make some updates to our website,"[""Diseño gráfico"", ""HTML"", ""Laravel"", ""PHP"", ""Diseño de sitios web""]"
3796,Front end developer for magento 2,"Front end to do on existing shop, we are interested in long relationships, expierience is needed ( 3 years min.)","[""HTML"", ""JavaScript"", ""Magento"", ""PHP"", ""Diseño de sitios web""]"
3797,Web design expert,"Looking for an experienced web developer who is well-rehearsed in Shopify, WordPress and landing page creation. 

Needing someone for an immediate start on a project for a client, plus ongoing client projects. 

You will be working closely with a team of brand specialists, designers, and another web specialist and will become a part of that team, working on projects together. 

Experience Required: 
- UI, UX Design experience 
- Understanding brand design 
- Graphic design skills a plus but not essential
- Implementing customisation to Shopify sites
- Creating WordPress websites 
- Creating Shopify Sites 
- Experience with integrations (email, CRMs etc)  and conditional logic forms 

The first project will be building out a landing page, with all branding, imagery and content suppli...","[""HTML"", ""PHP"", ""Shopify"", ""Diseño de sitios web"", ""WordPress""]"
3798,Better UI for html5 game (8-bit style),"Hi there, I need a game and web developer for improve UI design of an open-source project based on html5, css and JS.","[""CSS"", ""HTML"", ""HTML5"", ""JavaScript"", ""Diseño de sitios web""]"
3799,Angular and .Net APIs to be developed for existing project,"Hi,

We are looking for a developer possessing the skills on front end side using Angular and Backend using ASP.net. Developers with 3+ years of experience would be preferred. We are looking to continue work on one of our existing projects.

Project requirements include:

1. Quality Delivery which will be based on milestones

2. Timely delivery and proactivity on the project

3. Professional behaviour in terms of delivery, documentation and code hygiene.

Your work will be reviewed by our internal technical lead and feedback will be provided.

We expect to start work by 3rd /4th week of January","["".NET"", ""AngularJS"", ""MVC""]"
3800,I need react native webrtc developer,"I need ready made group calling features for react native in webrtc , only bid if you have that.","[""Desarrollo de apps móviles"", ""React Native""]"
3801,Software Developer to host the software on a website,I need a few  test to be taken by students. Their results should be displayed to the student. The test typically consists of 10-100 questions.  Website should be able to handle about 200 students at one time.,"[""Java"", ""JavaScript"", ""PHP"", ""Arquitectura de software"", ""Verificación de software""]"
3802,Strong Python/Pandas expert for backend development,"We need for an experienced Python Developer for a long-term position with our warehousing management tech startup. We've rapidly developed the current system and are in the process of taking it from an MVP to a reliable & sustainable state.
Most of our services are deployed using Cloud Run or Cloud Functions on GCP. The code is written in Python/Pandas. We use Postgres and buckets for storage. Our system is closer to a microservice architecture, but has some larger services, like our data access layer service made with fastapi & strawberry (graphql library).
We want opinionated engineers willing to take this project and make it their own.

- Must have substantial experience with Python
- Experience building test suites
- Experience making architectural recommendations
-...","[""Backend Development"", ""NoSQL Couch y Mongo"", ""Pandas"", ""Python"", ""Arquitectura de software""]"
3803,Unity3D Mobile Game Developer - Preferred Full Time / Part Time   -- 2,"Hey Guys,

I'm looking for an experienced Unity3D Mobile Game Developer to create hyper-casual and arcade games. Send your 3D Games portfolio made with Unity for mobile. 

Availability 
Full time job (8 to 9 hours of work monday to friday). 
Part time - 6 hours (based on my preferred time)

Make sure you apply only if you have a portfolio and available based on my preference. 

Looking forward to work with you guys.

Payment will be discussed

Cheers","[""Programación en C#"", ""Desarrollo de juegos"", ""Unity 3D""]"
3804,Clean Code Flutter Developer - MUST Have MacOS Computer & iPhone Device - $75 Fixed Job,"In need of a Flutter developer that writes clean & readable code.
If you have ffmpeg direct custom code experience, thats great also. But not needed.

You MUST a MacOS computer and an iPhone device, for testing.
You MUST know how to produce Flutter based IPA files for testing.

You are adding a screen & functionality to my app.

Below I have the...
-Demo of the app you will edit
-Source Code Repository of the app
-Mock Up of the screen I need you to make w/ functionality
----------

Customization Details:
I have a Flutter app that allows you to change the size of video & save it.
 Import video from device, resize, save video. 

Here is a demo of the app:


Here is the repository code.","[""Dart"", ""Flutter"", ""Desarrollo de apps móviles"", ""Swift"", ""Video Processing""]"
3805,Build me a website using Cofoundry CMS.,"The developer should be having experience in Creating  Templates and Blocks according to the requirement of Projects.
The Individual Should be able to work with the Team members and indulge in sharing the Knowledge Transfer sessions as per the requirement.","["".NET Core"", ""Content Management System (CMS)"", ""CSS"", ""HTML""]"
3806,Flutter Webview Apps + Submission,"I have x5 websites I want to convert to x5 different Flutter webview apps and submitted to both App Store and Play Store (I have developer account and can give you user permission). I also need Admob integrated in all the apps.

I have a Flutter backend code actually so just need to make some changes to covert it into different apps.

I can send more details via PM if needed.

Please DO NOT send me bait or fake bids. My budget is for ALL the apps.

Thank you","[""Flutter"", ""Desarrollo de apps móviles""]"
3807,Looking for flutter developer for ecommerce app developement  -- 2,We are Looking for flutter developer for eCommerce app development on monthly basis. Good experience in flutter android and IOS both.,"[""Android"", ""Flutter"", ""iOS Development"", ""Desarrollo de apps móviles"", ""UI / User Interface""]"
3808,Membuat sebuah theme,"Salam serumpun, saya Naim dari Malaysia memerlukan developer yang mahir HTML+CSS+PHP website.

Begini ceritanya:
-saya beli source code digital invitation
-saya perlukan developer untuk bina theme baharu

Penjelasan:
- ini adalah websitenya: 
- ini adalah pages registration di mana user perlu isi infonya (capture input: nama/maklumat..) : 
- ini adalah contoh hasil menggunakan current theme : 
- kamu boleh lihat source code current themenya .. dan lihat bagaimana PHP echo display input user : 

Kerjaanya:
1. tambah/buang/perbaiki input yang diperlukan di page-page nya
2. bina theme baru seperti ini : 

Maklumat","[""CSS"", ""HTML"", ""PHP"", ""Diseño de sitios web""]"
3809,Senior Brightspot CMS Developer Needed,"We are designing a company website using Brightspot CMS so we are looking for someone with expert experience using Brighspot CMS.

This is a senior-level role - we are looking for a smart, entrepreneurial developer who can make a serious contribution to us on both a technical and professional level.

Who we’re looking for:
- Good experience similar to the project requirement
- Transparency and Strong communication skill

Kindly provide exclusively Brightspot CMS websites you have created for review to be considered for this project.

Thanks","[""CMS"", ""HTML"", ""JavaScript"", ""Diseño de sitios web""]"
3810,Looking for Laravel developer for Integrate Paypal on Recurring mode.,"I am looking for Laravel developers who can integrate PayPal as a recurring mode Correctly. Actually paypal recurring mode is integrate correctly After successfully paid it is not redirected to the site

As it is not more than a 1-hour job for an experienced developer.

Thanks.","[""HTML"", ""Laravel"", ""MySQL"", ""PHP"", ""Diseño de sitios web""]"
3811,Website in either word press or shopify for art gallery,"I am looking for a professional website developer who has experience in making word press and also shopify sites.    Now if the webdeveloper has additional skills in marketing this is great.    Now this website must be SEO friendly.    Now the website is about selling famous painters so some knowledge of old masters is certainly an advantage.   
This is important as I want to see your best 3 websites you have made.   Make sure its easy to just click on your link instead of me having to copy and paste it into the address bar,   Just show me your best 3 no more.  
my first question is ""  Why should i hire you over anyone else?""","[""Content Marketing"", ""Diseño gráfico"", ""Shopify"", ""Diseño de sitios web"", ""WordPress""]"
3812,Build me a ecommerce multi vendor marketplace website,Need a ecommerce multi vendor website using core php and mongodb/mysql. UI will be provided to the developer. More detailed info in the DM. URGENT BASIS !,"[""HTML"", ""JavaScript"", ""MongoDB"", ""MySQL"", ""PHP""]"
3813,Need java backend developer,"Senior Role: 8 yrs exp on resume

High Backend(Spring boot and microservices architecture) and AWS knowledge(S3, SQS, CloudWatch), SQL and NoSQL data base[Postgres], Unit, system and integration testing , 

Taxing and payroll department 

Develop Cucumber test cases (Component testing) along with development to debug the code and fix the issues in the local.","[""Amazon Web Services"", ""Java"", ""Microservices"", ""PostgreSQL"", ""RESTful""]"
3814,Junior PHP Developer on Per Month Salary Basis,"****NO AGENCY, AT ALL****

We need a dedicated developer - 
1. Salary will be fixed ( See the selected budget)
2. 2-3 Years of Experience
3. Happy to work on Laravel
4. We align him/her with the Sr. Developer.","[""HTML"", ""Laravel"", ""MySQL"", ""PHP"", ""Diseño de sitios web""]"
3815,Convert MSV asp . net application to a Python web based software,"I have a POS software running on MSV asp .net. Unfortunately I have lost the code for the software. I need  an exact or more or less same software on web Based (python). we even need a pick up & delivery app for the same with rider app too. 
The developer shall also be on board for 8-10 months incase of bugs or any fixes needed.
We also require the entire coding and handover. 
Also it's a time sensitive project.  

P.S. Any software developer from Mumbai would be preferred","[""ASP.NET"", ""MySQL"", ""Python"", ""Arquitectura de software"", ""Verificación de software""]"
3816,i need a it or web developer in moldova that speaks the local language and english,i need a it or web developer in moldova that speaks the local language and english,"[""English (UK) Translator"", ""English (US) Translator""]"
3817,Python/Node.Js Script to scrape website,I am looking for a developer who can build script to scrape this website tottus.com.pe. If you will do this successfully I have 25 more websites to add. More details will be shared with the winning bidder.,"[""JavaScript"", ""Node.js"", ""Python"", ""Extracción de datos web""]"
3818,Looking for Laravel developer.,"I am looking for Laravel developers who can integrate PayPal as a recurring mode Correctly. Actually paypal recurring mode is integrate correctly After successfully paid it is not redirected to the site

As it is not more than a 1-hour job for an experienced developer.

Thanks.","[""HTML"", ""Laravel"", ""MySQL"", ""PHP"", ""Diseño de sitios web""]"
3819,Web automation and Script Expert,"We're looking for a highly experienced developer familiar with web automation and script development.
It's an exciting opportunity for an experienced developer who is looking for a new challenge with a fast-growing startup targeting the fastest-growing region in the world. The position is on a contract basis for 6+ months, on a milestone basis with the option to potentially become a full-time team member.","[""Automation"", ""JavaScript"", ""Node.js""]"
3820,Sketch developer,I'm looking for someone who can turn sketched Floor plans from real estate into a digital precise file,"[""Renderización 3D"", ""Autodesk Sketchbook Pro"", ""Diseño del hogar"", ""Sketching"", ""SketchUp""]"
3821,perfex crm developer needed,hello how are you i need perfex crm developer who able to develop perfex crm modulus and know how to work with perfex crm,"[""Codeigniter"", ""JavaScript"", ""MySQL"", ""PHP""]"
3822,Golang Developer,3+ years. Interested candidate can send their resume,"[""Redacción de artículos"", ""Entrada de datos"", ""Diseño de logotipos"", ""Desarrollo de apps móviles"", ""Diseño de sitios web""]"
3823,HTML/CSS/JavaScript front end developer needed,"Hi.
We're looking for HTML/CSS/JS front end developer with SCSS experience.
The design is ready so you will get Adobe XD access.
Let's discuss the details in a private chat.
Thank you!","[""CSS"", ""HTML"", ""HTML5"", ""JavaScript"", ""PSD a HTML""]"
3824,Need Python-Django Developer in Pune,"This project is developing a web application containing various forms and CRUD operations. The web application will be in Marathi and must be developed in Python(/Django). 

You need to be fluent in Marathi and preferably based in Pune.

The expected timeframe is 3 months full-time efforts. Please bid only if you are working full-time.

Happy bidding.","[""Django"", ""JavaScript"", ""Empleo local"", ""Micropython"", ""Programación"", ""Programming Help"", ""Python"", ""Arquitectura de software"", ""Desarrollo de software"", ""Extracción de datos web""]"
3825,Build web site to showcase financial products -- 2,"I need someone to build a website to sell my financial products. The developer should have access to eye-catching themes. Start with a customer portal to capture customer details and related information. It is a single page website with refferences to sections of the page.
Manu Items - Home, Features, Login, Refinance Now

Login: This is for the existing users. Ask for a username/password. Reset password (Email to reset the password ). They should be able to update their details. 
	Personal details - Username, Name ( First and Last), contact numbers, password. Address, preferred time to contact, *desired way contact (email/phone)
	Loan Details - Interest rate, *Loan Purpose (Owner Occupied/Investment), *P&I/IO, Property address, *Current Lender, Product name, *preferred Lenders ...","[""CSS"", ""Drupal"", ""Webflow"", ""Diseño de sitios web"", ""WordPress""]"
3826,Resume Building Website with job portal,"purpose of the web site is Building a Resume / CV..
So Need to make it simple and clear with Some suggestions 
( For an example if visitor select ""Web developer"" as his work experience should be generate some of his duties and visitor can select some of them and should be edit those or add new duty )  
Also need few templates and when visitor hit the download button then comes the payment method 
( like Zety, Indeed )

 Listing Website must me simple as user can create a cv from us or he can apply with his own ( a simple job listing web site )

3. Blog for SEO ( about cv, career ect.. )

IF You can Develop a website template, thats better to go with this budget
so please send one of your template and inform me, what do you really can","[""CSS"", ""Diseño gráfico"", ""PHP"", ""Diseño de sitios web"", ""WordPress""]"
3827,Consultancy/ advice required - software and app expert,"Skype or zoom meeting required.
Need advice from an expert software and app developer on the development of a calculator sort of software. The back end will have the capability to pull the data from the set website without delays.
Maybe 1/2 an hour of consultancy is required.","[""HTML"", ""JavaScript"", ""MySQL"", ""Arquitectura de software"", ""Desarrollo de software""]"
3828,Looking for senior php developer who can generate editable pdfs -- 3,Looking for senior php developer who can generate editable pdfs,"[""CSS"", ""HTML"", ""MySQL"", ""PHP"", ""Diseño de sitios web""]"
3829,I need  logo for my own website,"hey logo designer. I need a wonderful logo for my own business.  I'm a web developer so  I want to create a Portfolio website. That's why I need a logo. My Domain name is ""Developer Abdullah""","[""Diseño gráfico"", ""Diseño de logotipos"", ""Photoshop""]"
3830,Quick Chatbot Developer to Build a unique Telegram bot and mobile website that is simple and clean in design,"Join our team in creating a cutting-edge Telegram bot that will utilize the latest advancements in natural language processing and machine learning technology such as chatGPT
Have the opportunity to work on integration with leading communication platforms such as Talknet and WhatsApp
Play a key role in collecting user data and implementing payment gateway APIs
Build and design a mobile-friendly website
Use cutting-edge technology to push the limits of what's possible in this field
Be part of a dynamic and dedicated team that is committed to delivering high-quality results

reply with ''NASA'' so I know you understood the post if you didn't then your probably not the dev I am looking for","[""Chatbot"", ""Full Stack Development"", ""Machine Learning (ML)"", ""Python"", ""Telegram API""]"
3831,Build an email follow-up plugin for Gmail  -- 2,"I'm looking for a good developer who can create a plugin for Gmail to automate the email follow-ups, as well as sending mass marketing emails. 

Basically, I will need the plugin to be fully usable within the Gmail interface. No external dashboard or side items needed.

It shall be possible to install the plugin into Gmail and everything shall be set/manage directly within Gmail itself.

Looking at the list of features, this is what is required:

- Automatic Follow-up Emails
- Customisable messages
- Customisable intervals (send first follow up after X days, send second follow up after Y days)
- Specific days and times (send this specific email and/or follow-up on this specific date at this specific time)
- Works on Gmail
- Up to 14 follow-ups per email (if it is e...","[""CSS"", ""HTML"", ""Plugin"", ""Python"", ""Arquitectura de software""]"
3832,fast Chatbot Developer to Build a unique Telegram bot and mobile website that is simple and clean in design,"Join our team in creating a cutting-edge Telegram bot that will utilize the latest advancements in natural language processing and machine learning technology such as chatGPT
Have the opportunity to work on integration with leading communication platforms such as Talknet and WhatsApp
Play a key role in collecting user data and implementing payment gateway APIs
Build and design a mobile-friendly website
Use cutting-edge technology to push the limits of what's possible in this field
Be part of a dynamic and dedicated team that is committed to delivering high-quality results

reply with ''MoonLight'' so I know you understood the post","[""Chatbot"", ""Full Stack Development"", ""Machine Learning (ML)"", ""Python"", ""Telegram API""]"
3833,I need a app developer,"It is an application for customers commute where they can hire a driver.
Similar to Driveu application","[""Android"", ""Desarrollo de apps móviles"", ""Objective C"", ""PHP""]"
3834,I need a app developer  -- 2,"It is an application for customers commute where they can hire a driver.
Similar to Driveu application","[""Android"", ""Desarrollo de apps móviles"", ""Objective C"", ""PHP""]"
3835,REAL ANDROID TABLET/PAD OWNER - TO TEST ANDROID APP - MOBILE APP DEVELOPER -- 2,"We are looking for an app developer to test our android app. The biggest requirement is that you MUST OWN A REAL ANDROID TABLET / PAD. You must must must have a real android tablet. NOT AN EMULATOR. Please do not apply for this job unless you own a real android tablet. 

Thanks.","[""Android"", ""iPhone"", ""Java"", ""Desarrollo de apps móviles"", ""Smart Phone/Tablet Apps""]"
3836,talented Chatbot Developer to Build a unique Telegram bot and mobile website that integrates with communication platforms,"Join our team in creating a cutting-edge Telegram bot that will utilize the latest advancements in natural language processing and machine learning technology such as chatGPT
Have the opportunity to work on integration with leading communication platforms such as Talknet and WhatsApp
Play a key role in collecting user data and implementing payment gateway APIs
Build and design a mobile-friendly website
Use cutting-edge technology to push the limits of what's possible in this field
Be part of a dynamic and dedicated team that is committed to delivering high-quality results

reply with Sunshine so I know you understood the post","[""Chatbot"", ""Full Stack Development"", ""Machine Learning (ML)"", ""Python"", ""Telegram API""]"
3837,"C#, ASP.NET, Azure Developer to finalize our web app",We are looking for a C#/.NET/Azure developer to collaborate with Frontend developer to finalize our web app. Thank you!,"["".NET"", ""ASP.NET"", ""Programación en C#"", ""Servidor de Microsoft SQL"", ""MVC""]"
3838,"""Expert Trading Bot Developer for PocketOption.com - A Cutting-Edge Project""","We are seeking a skilled software developer to create a trading bot for the popular binary options trading platform, PocketOption.com. The ideal candidate will have experience developing trading bots and a strong understanding of binary options trading.

Responsibilities:

Design and develop a trading bot that can execute trades on  through their API
Integrate the trading bot with the  API and test for reliability and performance
Create and implement algorithms for automated trading strategies
Continuously monitor and optimize the trading bot for maximum performance and profitability
Provide documentation for the trading bot and its use
Requirements:

Experience in developing trading bots for binary options platforms
Strong understanding of binary options trading","[""Programación en C"", ""Programación en C++"", ""Java"", ""Python"", ""Arquitectura de software""]"
3839,Deployment Django app,"Hello
 I need an experienced Django developer for building ci/cd deployment of Django app","[""Django"", ""Docker"", ""Kubernetes"", ""Python""]"
3840,TradingView and Pinescript..,"Hi there, We are looking for a developer with Pinescript and Tradingview experience. I will share more details through chat.","[""Metatrader"", ""Pine Script"", ""Python"", ""Arquitectura de software"", ""Trading""]"
3841,Help deploying an existing React app to Netlify with Stripe integration,"I have a React app that works locally. I'm looking to deploy the app using Netlify, and set up a Stripe API integration. I have a custom domain that I would like to use to deploy the app, and a Github repo that has the latest build working lo...and a Github repo that has the latest build working locally. I've tried to deploy the app to Netlify, but am having trouble connecting the APIs. 

Milestones
1. Successfully deploy the app on Netlify with connection to the .env variables (currently the application can't access the keys)
2. Set up Stripe integration to accept test payments and account creation.

Looking to work closely with the developer to understand what parts of the code need changing to deploy the application in production. Access to Github repo, Stripe acco...","[""JavaScript"", ""Netlify"", ""React.js"", ""Stripe""]"
3842,APISign Integration,Want to hire a power automate developer,"[""Power Automate"", ""PowerApps"", ""Arquitectura de software""]"
3843,Add Feature in wordpress plugin + Create a Dashboard and FrontEnd website,"Hello Guys, 

(A). I want to make a wordpress plugin, admin can make a table and visitor search in the frontend and get the data from database in the table, but don't need to starting this plugin from scratch, so the developer can use other plugin like (tablepress wordpress plugin) and add the following feature:
1. Admin can choose which column will searchable.
2. Admin can choose number of result will shown to visitor (One or Many results).
3. Admin makes the visitor can't see the results without logging in.
4. Admin makes the visitor search by his Email that he logged in with it.
5. Make some themes for the design of table in frontend and the admin can choose which theme will be default.
6. The plugin will have two types of licenses (free version)->(Admin Can Create 1...","[""JavaScript"", ""Node.js"", ""Payment Gateway Integration"", ""PHP"", ""WordPress""]"
3844,Proyecto o concurso privado #35729134,"Por favor, regístrate o inicia sesión para ver los detalles.","[""MQL4"", ""Pine Script""]"
3845,i need a linux developer...,"i want to modify or add to the write functionality of debian so that instead of replacing a file when there is a write after modification of the file, it does that write but also creates a copy of the original file.  

For instance, pull  into and editor, modifying a line and then writing the file will result in two files....  with the latest change and  with the original version of the file.  I don't care if this is in or external to kernel as only the functionality is important.

I suppose this means that the write would not overwrite the original source but rather rename that source and then write the modified buffer to a new file of the same name as the original.

If you kept saving the file after every one of ten modifications then you'd have eleven files, the original and t...","[""Programación en C"", ""Linux"", ""UNIX""]"
3846,Looking for mern stack developer,"I need a MERN simple fitness and diet tracker web app built for a few hour.

Contact me for more details.","[""Frontend Development"", ""Full Stack Development"", ""Node.js"", ""React.js"", ""Vue.js""]"
3847,Web Developer as Needed,"Looking to work with a web developer who is experienced in different technologies. Wordpress, Shopify, PHP. App Development is a plus. Preferably working with someone USA hours only. Job will include, updates, content changes, design and other tasks as needed.","[""HTML"", ""Desarrollo de apps móviles"", ""PHP"", ""Shopify"", ""WordPress""]"
3848,wordpress developer,Create a WordPress information site. Need a freelancer to stick to a schedule to complete on-time. Will work with fixed project cost only. No hourly contract.,"[""CSS"", ""HTML"", ""PHP"", ""Diseño de sitios web"", ""WordPress""]"
3849,Podio Software Developer,Hi I am looking for a developer to install RingCentral call AND text features on our podio CRM as well as be able to send out emails directly from our podio CRM.,"[""CRM"", ""PHP"", ""Desarrollo de aplicaciones de Salesforce"", ""Salesforce.com"", ""Arquitectura de software""]"
3850,Responsive Website Development - GSAP & Locomotive.,"I need a Front-End Developer who can collaborate with me on the development of my Portfolio.

Skills Required:
GSAP, Locomotive, HTML, CSS, JavaScript.

Best to have skills:
WebGL

The design of the website is ready!

I'm going to submit this website on  for SOTD & the developer is going to be the Co-owner of this project on Awwwards.

This website has a total of 6 pages, including the Case Study page.

Website Prototype:


Page Transition Effect Prototype:


Tip: If won't be able to scroll on some pages, just 'click' on the page to scroll.

There are a lot of animations, transition effects & micro-interactions on a website, and all effects & animation are not possible to show in a prototype.

Reference websites to understand the types","[""CSS"", ""HTML"", ""JavaScript""]"
3851,Youtube uploader,"Please read it carefully, if you didn't read it your bid will be ignored.

Hello , I want a developer to code a youtube video uploader, which can upload videos via the cookies of my accounts. it shouldn't use any external driver like selenium drivers and should rely only on cookies.

OS: Windows.
Cookies type: from browser.

thanks.","[""Programación en C#"", ""Programación en C++"", ""Arquitectura de software"", ""Desarrollo de software""]"
3852,TEST VALVES SCENARIO,"TEST HYDRAULIC ELECTROVALVES
the developer can choose hardware
plc, hmi, rasbery i2c communication,programmable hmi plc integrated industrial controller","[""Ingeniería eléctrica"", ""Electrónica"", ""Ingeniería"", ""Microcontrolador"", ""Verilog / VHDL""]"
